Disaster,State,County,City,Zip Code,Valid Registrations,Total Inspected,Inspected with No Damage,Total with Moderate Damage,Total with Major Damage,Total with Substantial Damage,Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
4339,PR,Toa Alta (Municipio),TOA ALTA,99053,1,1,0,0,1,0,1,918,0,918,0,1,0,0,0
4339,PR,Toa Alta (Municipio),TOAALTA,953,7,4,4,0,0,0,4,2000,0,0,2000,4,0,0,0
4339,PR,Toa Alta (Municipio),TOAALTA,954,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA HEIGHTS,953,4,3,3,0,0,0,3,4715,0,0,4715,3,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA HIGTS,953,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA HTS,953,1,1,1,0,0,0,1,500,0,0,500,1,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA PR,953,2,1,1,0,0,0,1,553,0,553,0,1,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA PUERTO RICO,953,3,1,1,0,0,0,1,500,0,0,500,1,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTO,953,1,1,1,0,0,0,1,500,0,0,500,1,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTS,953,1,1,1,0,0,0,1,66,0,0,66,1,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALYA,953,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),TOA BAJA,949,3,2,2,0,0,0,2,1000,0,0,1000,2,0,0,0
4339,PR,Toa Alta (Municipio),TOA BAJA,953,5,3,2,1,0,0,1,1106,0,1106,0,1,0,0,0
4339,PR,Toa Alta (Municipio),TOA BAJA,954,1,1,0,0,1,0,1,5810,0,1106,4704,1,0,0,0
